,,['S.N.','Traded Companies','No. Of Transaction','Max Price','Min Price','Closing Price','Traded Shares','Amount','Previous Closing', 'Difference Rs.']
['1', '12% ICFC Finance Limited Debenture 2083', '2', '1070.00', '1070.00', '1070.00', '25.00', '26750.00', '1070.00', '0.00\xa0', '                                            ', '']
['2', '8.5% Nepal Investment Bank Debenture 2084', '2', '848.10', '848.00', '848.00', '25.00', '21201.50', '850.00', '-2.00\xa0', '                                             ', '']
['3', '9.5% Manjushree Finance Limited Debenture 2085', '4', '890.50', '888.10', '888.10', '100.00', '88932.50', '890.30', '-2.20\xa0', '                                             ', '']
['4', 'Aarambha Chautari Laghubitta Bittiya Sanstha Limited', '23', '875.00', '840.40', '845.00', '595.00', '503541.10', '858.00', '-13.00\xa0', '                                             ', '']
['5', 'Agricultural Development Bank Limited', '189', '353.00', '348.10', '350.00', '16073.00', '5626290.20', '352.00', '-2.00\xa0', '                                             ', '']
['6', 'Ajod Insurance Limited', '55', '511.00', '485.00', '500.00', '6151.00', '3047831.00', '511.00', '-11.00\xa0', '                                             ', '']
['7', 'Ankhu Khola Jalvidhyut Company Ltd', '133', '225.90', '220.00', '221.40', '19027.00', '4227555.80', '223.90', '-2.50\xa0', '                                             ', '']
['8', 'Api Power Company Ltd.', '326', '286.00', '278.00', '279.60', '49268.00', '13781801.90', '283.00', '-3.40\xa0', '                                             ', '']
['9', 'Arun Kabeli Power Ltd.', '265', '465.00', '453.00', '454.00', '45064.00', '20630015.60', '459.00', '-5.00\xa0', '                                             ', '']
['10', 'Arun Valley Hydropower Development Co. Ltd.', '339', '410.00', '397.00', '400.00', '57288.00', '22949265.50', '403.00', '-3.00\xa0', '                                             ', '']
['11', 'Asha Laghubitta Bittiya Sanstha Ltd', '18', '1300.00', '1251.00', '1285.00', '293.00', '372777.00', '1250.00', '35.00\xa0', '                                            ', '']
['12', 'Asian Life Insurance Co. Limited', '207', '592.00', '567.00', '580.00', '44145.00', '25264663.60', '590.00', '-10.00\xa0', '                                             ', '']
['13', 'Balephi Hydropower Limited', '8', '153.30', '136.80', '153.30', '80.00', '11688.00', '139.40', '13.90\xa0', '                                            ', '']
['14', 'Bank of Kathmandu Ltd.', '74', '231.00', '225.50', '227.00', '8471.00', '1922470.00', '228.00', '-1.00\xa0', '                                             ', '']
['15', 'Barun Hydropower Co. Ltd.', '88', '470.00', '455.00', '460.40', '10490.00', '4826537.40', '464.90', '-4.50\xa0', '                                             ', '']
['16', 'Best Finance Company Ltd.', '55', '394.90', '383.00', '387.00', '5220.00', '2024898.50', '388.00', '-1.00\xa0', '                                             ', '']
['17', 'Bishal Bazar Company Limited', '7', '3611.00', '3602.00', '3610.00', '97.00', '349940.00', '3601.00', '9.00\xa0', '                                            ', '']
['18', 'Bottlers Nepal (Terai) Limited', '14', '13550.00', '13279.00', '13279.00', '210.00', '2798689.00', '13550.00', '-271.00\xa0', '                                             ', '']
['19', 'Buddha Bhumi Nepal Hydropower Company Limited', '31', '422.00', '406.00', '409.00', '950.00', '392916.00', '414.00', '-5.00\xa0', '                                             ', '']
['20', 'Butwal Power Company Limited', '99', '357.00', '344.00', '346.00', '13417.00', '4668150.10', '350.00', '-4.00\xa0', '                                             ', '']
